_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_ESTUPRO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
2581,1293/2020 - 3DP-TRES LAGOAS,"VILIPENDIO A CADAVER, HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, NA FORMA TENTADA","FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, ESTUPRO, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",19/11/2020,15:30:00,MS,Três Lagoas,5008305,,ESTUPRO TENTADO,True,False,False,2020,11
2884,226/2020 - DP-BRASILANDIA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL, CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 (DEZOITO) ANOS, COM ELE PRATICANDO INFRACAO PENAL OU INDUZINDO-O A PRATICA-LA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, CORRUPCAO DE MENOR, FATOS TIPICOS",22/03/2020,01:00:00,MS,Brasilândia,5002308,,ESTUPRO,False,False,False,2020,3
3004,6862/2019 - DEPAC-DDOS,"HOMICIDIO SIMPLES, DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, ESTUPRO, FEMINICIDIO - REVOGADO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS, ESTUPRO, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",23/12/2019,17:25:00,MS,Dourados,5003702,PARQUE ALVORADA,ESTUPRO (LEGISLAÇÃO REVOGADA),False,False,False,2019,12
3134,1453/2019 - DP-MARACAJU,"HOMICIDIO SIMPLES, DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ESTUPRO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS, ESTUPRO",07/09/2019,15:20:00,MS,Maracaju,5005400,,ESTUPRO,False,False,False,2019,9
3144,3621/2019 - DEPAC-DDOS,"ESTUPRO, SE DA CONDUTA RESULTA MORTE, ESTUPRO COLETIVO","FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS",01/09/2019,02:00:00,MS,Dourados,5003702,,ESTUPRO,False,False,False,2019,9
3181,470/2019 - DP-SONORA,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO",31/07/2019,22:00:00,MS,Sonora,5007935,CENTRO,ESTUPRO,False,False,False,2019,7
3192,2131/2019 - 1DP-NOVA ANDRADINA,"ESTUPRO, SE DA CONDUTA RESULTA MORTE","FATOS TIPICOS QUE RESULTAM EM MORTE, ESTUPRO, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",19/07/2019,03:00:00,MS,Nova Andradina,5006200,RESIDENCIAL PORTAL DO PARQUE,ESTUPRO,False,False,False,2019,7
3243,3453/2019 - 1DEAM,"ESTUPRO (VIOLENCIA DOMESTICA), HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA REVOGADO","ESTUPRO, FATOS TIPICOS, VIOLENCIA DOMESTICA, FATOS TIPICOS, HOMICIDIO DOLOSO NA FORMA TENTADA, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA",11/06/2019,03:30:00,MS,Campo Grande,5002704,JARDIM BALSAMO,ESTUPRO TENTADO,True,True,False,2019,6
3250,2685/2019 - 1DP-DOURADOS,"HOMICIDIO SIMPLES, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME, ESTUPRO, HOMICIDIO DOLOSO, SE O CRIME É PRATICADO EM CONCURSO DE DUAS OU MAIS PESSOAS","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, ESTUPRO, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",06/06/2019,20:00:00,MS,Dourados,5003702,ALDEIA BORORO,ESTUPRO,False,False,False,2019,6
3395,228/2019 - DP-AMAMBAI,"MORTE POR CAUSA INDETERMINADA (SEM INDICIO DE CRIME), VENDER, FORNECER, SERVIR, MINISTRAR OU ENTREGAR, AINDA QUE GRATUITAMENTE, DE QUALQUER FORMA, A CRIANÇA OU ADOLESCENTE, BEBIDA ALCOOLICA OU, SEM JUSTA CAUSA, OUTROS PRODUTOS CUJOS COMPONENTES POSSAM CAUSAR DEPENDENCIA FISICA OU PSIQUICA, ESTUPRO DE VULNERAVEL, SE DA CONDUTA RESULTA MORTE, ESTUPRO COLETIVO","MORTE DECORRENTE DE FATO ATIPICO, FATOS ATIPICOS, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, PEDOFILIA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ESTUPRO, FATOS TIPICOS",07/02/2019,21:00:00,MS,Amambai,5000609,,ESTUPRO,False,False,False,2019,2
