_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_VIOLENCIA_DOMESTICA,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
1215,916/2023 - DP-ANASTACIO,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",08/09/2023,08:30:00,MS,Anastácio,5000708,JARDIM PROGRESSO,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,9
1217,315/2023 - DAM-PARANAÍBA,"HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, FURTO (VIOLENCIA DOMESTICA)","FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, VIOLENCIA DOMESTICA",29/08/2023,10:35:00,MS,Paranaíba,5006309,SANTO ANTONIO,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,8
1245,5132/2023 - DEPAC-DDOS,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",09/08/2023,21:00:00,MS,Dourados,5003702,VILA ALMEIDA,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,8
1248,5061/2023 - 1DEAM,"POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO, SUICIDIO, PORTAR DROGAS, PARA CONSUMO PESSOAL, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FATOS TIPICOS, PORTE E POSSE DE ARMA DE FOGO, MORTE DECORRENTE DE FATO ATIPICO, FATOS TIPICOS, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",08/08/2023,06:45:00,MS,Campo Grande,5002704,JARDIM LOS ANGELES,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,8
1260,4840/2023 - DEPAC-DDOS,"LESAO CORPORAL DOLOSA, AMEACA, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI","LESAO CORPORAL DOLOSA, FATOS TIPICOS, AMEAÇA, FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS",30/07/2023,00:28:00,MS,Dourados,5003702,RESIDENCIAL ESPLANADA,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,True,2023,7
1286,231/2023 - DAM-NOVA ANDRADINA,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",12/07/2023,13:30:00,MS,Nova Andradina,5006200,CONJUNTO HABITACIONAL DURVAL ANDRADE FILHO,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,7
1302,4198/2023 - 1DEAM,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",01/07/2023,05:00:00,MS,Campo Grande,5002704,PARQUE DO LAGEADO,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,7
1341,263/2023 - DP-ELDORADO,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, INJURIA (VIOLENCIA DOMESTICA)","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS",27/05/2023,00:15:00,MS,Eldorado,5003751,CENTRO,VIOLENCIA DOMESTICA,False,True,False,2023,5
1342,2466/2023 - 1DP-CORUMBA,"SUICIDIO (TENTATIVA), FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",26/05/2023,12:00:00,MS,Corumbá,5003207,,VIOLENCIA DOMESTICA TENTADO,True,True,False,2023,5
1376,2933/2023 - 1DEAM,"HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",30/04/2023,02:50:00,MS,Campo Grande,5002704,JARDIM COLIBRI DOIS,VIOLENCIA DOMESTICA (LEGISLAÇÃO REVOGADA),False,True,False,2023,4
