_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO
2839,882/2020 - 1DP-PONTA PORÃ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",24/04/2020,14:00:00,MS,PONTA PORÃ,5006606,JARDIM PLANALTO
2840,2554/2020 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",24/04/2020,11:00:00,MS,DOURADOS,5003702,PARQUE ALVORADA
2841,204/2020 - DP-ITAQUIRAI,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",23/04/2020,21:10:00,MS,ITAQUIRAÍ,5004601,""
2842,490/2020 - 1DP-COXIM,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",23/04/2020,16:00:00,MS,COXIM,5003306,VILA BELA
2843,2416/2020 - DEPAC-CEPOL-CG,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",22/04/2020,09:00:00,MS,CAMPO GRANDE,5002704,DOM ANTONIO
2844,921/2020 - DEPAC-TL,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",21/04/2020,19:40:00,MS,TRÊS LAGOAS,5008305,""
2845,2541/2020 - DEPAC-DDOS,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",21/04/2020,00:00:00,MS,DOURADOS,5003702,""
2846,1791/2020 - 1DP-CORUMBA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",20/04/2020,09:00:00,MS,CORUMBÁ,5003207,""
2847,2522/2020 - DEPAC-DDOS,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",20/04/2020,08:00:00,MS,DOURADOS,5003702,""
2848,532/2020 - DP-MARACAJU,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",18/04/2020,19:40:00,MS,MARACAJU,5005400,ILHA BELA I
2849,145/2020 - DP-ANGELICA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",18/04/2020,06:00:00,MS,ANGÉLICA,5000856,CENTRO
2850,5815/2020 - DEPAC-CENTRO-CG,"HOMICIDIO DOLOSO MAJORADO, SE O CRIME É PRATICADO CONTRA PESSOA MENOR DE 14 (QUATORZE) OU MAIOR DE 60 (SESSENTA), HOMICIDIO QUALIFICADO POR MOTIVO FUTIL NA FORMA TENTADA","PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS",18/04/2020,01:00:00,MS,CAMPO GRANDE,5002704,VILA SILVIA REGINA
2851,2323/2020 - DEPAC-CEPOL-CG,"HOMICIDIO SIMPLES, PORTAR DROGAS, PARA CONSUMO PESSOAL","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS",17/04/2020,02:00:00,MS,CAMPO GRANDE,5002704,LOTEAMENTO VESPASIANO MARTINS
2852,201/2020 - DP-DEODÁPOLIS,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",15/04/2020,17:00:00,MS,DEODÁPOLIS,5003454,""
2853,16067/2020 - DEVIR,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",14/04/2020,00:40:00,MS,CAMPO GRANDE,5002704,PARQUE DO LAGEADO
2854,918/2020 - 1DP-PONTA PORÃ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",13/04/2020,18:00:00,MS,PONTA PORÃ,5006606,JARDIM IPANEMA
2855,672/2020 - 1DP-NAVIRAÍ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",11/04/2020,06:40:00,MS,NAVIRAI,5005707,VILA ALTA
2856,2406/2020 - DEPAC-DDOS,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",10/04/2020,19:30:00,MS,DOURADOS,5003702,PARQUE DAS NACOES II
2857,2100/2020 - 1DEAM,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",09/04/2020,16:55:00,MS,CAMPO GRANDE,5002704,NUCLEO HABITACIONAL UNIVERSITARIAS
2858,140/2020 - DP-ANGELICA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, ROUBO MAJORADO PELA RESTRICAO DE LIBERDADE DA VITIMA, ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE, PROMOVER, CONSTITUIR, FINANCIAR OU INTEGRAR, PESSOALMENTE OU POR INTERPOSTA PESSOA, ORGANIZACAO CRIMINOSA","FATOS TIPICOS, ROUBO, FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS",09/04/2020,08:00:00,MS,ANGÉLICA,5000856,""
2859,448/2020 - 1DP-JARDIM,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",08/04/2020,09:15:00,MS,JARDIM,5005004,VILA CAMISAO
2860,104/2020 - DP-JUTI,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",07/04/2020,21:40:00,MS,JUTI,5005152,CENTRO
2861,663/2020 - 1DP-NAVIRAÍ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",07/04/2020,18:00:00,MS,NAVIRAI,5005707,VILA JOAO DE BARRO
2862,310/2020 - DP-MIRANDA,"MORTE POR CAUSA INDETERMINADA (SEM INDICIO DE CRIME), MAUS TRATOS, SE DO FATO RESULTA A MORTE, FEMINICIDIO - REVOGADO","MORTE DECORRENTE DE FATO ATIPICO, FATOS ATIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, MAUS-TRATOS, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",07/04/2020,08:40:00,MS,MIRANDA,5005608,""
2863,2369/2020 - DEPAC-DDOS,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, ROUBO MAJORADO PELO CONCURSO DE PESSOAS, ROUBO MAJORADO SE A VIOLENCIA OU AMEAÇA  É EXERCIDA COM EMPREGO DE ARMA DE FOGO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, ROUBO, FATOS TIPICOS",06/04/2020,20:00:00,MS,DOURADOS,5003702,PARQUE DAS NACOES I
2864,506/2020 - 4DP-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",06/04/2020,11:00:00,MS,CAMPO GRANDE,5002704,JARDIM PAULISTA
2865,2359/2020 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",05/04/2020,18:30:00,MS,DOURADOS,5003702,CANAA I
2866,196/2020 - DP-ITAQUIRAI,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",05/04/2020,09:35:00,MS,ITAQUIRAÍ,5004601,""
2867,1708/2020 - 1DP-CORUMBA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",04/04/2020,21:00:00,MS,CORUMBÁ,5003207,MARIA LEITE
2868,2351/2020 - DEPAC-DDOS,"HOMICIDIO SIMPLES, HOMICIDIO SIMPLES NA FORMA TENTADA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS",04/04/2020,18:40:00,MS,DOURADOS,5003702,JARDIM JOQUEI CLUBE
2869,14647/2020 - DEVIR,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",04/04/2020,11:10:00,MS,CAMPO GRANDE,5002704,JARDIM JOQUEI CLUB
2870,778/2020 - 1DP-PONTA PORÃ,"HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE","FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO",04/04/2020,03:30:00,MS,PONTA PORÃ,5006606,""
2871,141/2020 - DAM-AQUIDAUANA,"FAVORECIMENTO PESSOAL, FEMINICIDIO - REVOGADO","FATOS TIPICOS, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",03/04/2020,14:20:00,MS,AQUIDAUANA,5001102,NOVA AQUIDAUANA
2872,635/2020 - 3DP-CG,"HOMICIDIO SIMPLES, ASSOCIACAO CRIMINOSA, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",02/04/2020,13:15:00,MS,CAMPO GRANDE,5002704,JARDIM NOROESTE
2873,764/2020 - 1DP-PONTA PORÃ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",01/04/2020,23:20:00,MS,PONTA PORÃ,5006606,ZONA RURAL
2874,2183/2020 - DEPAC-CEPOL-CG,"FURTO, DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, DESAPARECIMENTO DE PESSOA, HOMICIDIO QUALIFICADO POR MOTIVO FUTIL, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, HOMICIDIO QUALIFICADO, PARA ASSEGURAR A EXECUCAO, A OCULTACAO, A IMPUNIDADE OU VANTAGEM DE OUTRO CRIME","FURTO, FATOS TIPICOS, FURTO (SEM ART. 155, § 3° DO CP), FATOS TIPICOS, FATOS ATIPICOS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE",01/04/2020,12:00:00,MS,CAMPO GRANDE,5002704,PIONEIROS
2875,2315/2020 - DEPAC-DDOS,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",31/03/2020,03:00:00,MS,DOURADOS,5003702,""
2876,148/2020 - 2DP-PONTA PORA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",28/03/2020,12:00:00,MS,PONTA PORÃ,5006606,""
2877,77/2020 - DP-TACURU,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",28/03/2020,02:00:00,MS,TACURU,5007950,""
2878,747/2020 - 1DP-PONTA PORÃ,HOMICIDIO QUALIFICADO POR MOTIVO FUTIL,"HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",28/03/2020,01:00:00,MS,PONTA PORÃ,5006606,RESIDENCIAL MANOEL PADIAL UREL
2879,224/2020 - DP-AGUA CLARA,"FAVORECIMENTO PESSOAL, FEMINICIDIO - REVOGADO","FATOS TIPICOS, FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",25/03/2020,18:00:00,MS,ÁGUA CLARA,5000203,JARDIM NOVA AGUA CLARA
2880,136/2020 - DAM-PONTA PORÃ,"HOMICIDIO SIMPLES, LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA), DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, DOS CRIMES CONTRA A PESSOA, LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, FATOS TIPICOS",24/03/2020,22:40:00,MS,PONTA PORÃ,5006606,ZONA RURAL
2881,437/2020 - 1DP-COXIM,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",24/03/2020,15:39:00,MS,COXIM,5003306,VILA PIQUI I E II
2882,13099/2020 - DEVIR,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, DESAPARECIMENTO DE PESSOA, ROUBO QUALIFICADO, SE DA VIOLENCIA RESULTA MORTE, TRAFICO DE DROGAS","FATOS TIPICOS, FATOS ATIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, ROUBO, FATOS TIPICOS QUE RESULTAM EM MORTE, DROGAS, FATOS TIPICOS",24/03/2020,12:15:00,MS,CAMPO GRANDE,5002704,VILA TAVEIROPOLIS
2883,117/2020 - DP-CORONEL SAPUCAIA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",22/03/2020,09:00:00,MS,CORONEL SAPUCAIA,5003157,JARDIM IPÊ
2884,226/2020 - DP-BRASILANDIA,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, ESTUPRO DE VULNERAVEL, CORROMPER OU FACILITAR A CORRUPCAO DE MENOR DE 18 (DEZOITO) ANOS, COM ELE PRATICANDO INFRACAO PENAL OU INDUZINDO-O A PRATICA-LA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, ESTUPRO DE VULNERÁVEL - ART. 217-A, FATOS TIPICOS, PEDOFILIA, ESTUPRO, CORRUPCAO DE MENOR, FATOS TIPICOS",22/03/2020,01:00:00,MS,BRASILÂNDIA,5002308,""
2885,222/2020 - DP-SÃO GABRIEL,"HOMICIDIO SIMPLES, DEIXAR O CONDUTOR DO VEICULO, NA OCASIAO DO ACIDENTE, DE PRESTAR IMEDIATO SOCORRO A VITIMA, OU, NAO PODENDO FAZE-LO DIRETAMENTE, POR JUSTA CAUSA, DEIXAR DE SOLICITAR AUXILIO DA AUTORIDADE PUBLICA","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES DE TRANSITO (ART. 304 AO 312 DA LEI 9.503/97)",19/03/2020,22:50:00,MS,SÃO GABRIEL DO OESTE,5007695,CENTRO
2886,2224/2020 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",19/03/2020,20:44:00,MS,DOURADOS,5003702,JARDIM AMERICA
2887,142/2020 - DP-IGUATEMI,"MORTE POR CAUSA INDETERMINADA (SEM INDICIO DE CRIME), HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","MORTE DECORRENTE DE FATO ATIPICO, FATOS ATIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",19/03/2020,12:30:00,MS,IGUATEMI,5004304,""
2888,181/2020 - DP-ITAQUIRAI,"HOMICIDIO SIMPLES, MORTE POR CAUSA INDETERMINADA (SEM INDICIO DE CRIME)","FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, MORTE DECORRENTE DE FATO ATIPICO, FATOS ATIPICOS",17/03/2020,20:00:00,MS,ITAQUIRAÍ,5004601,""
2889,1936/2020 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",17/03/2020,00:01:00,MS,CAMPO GRANDE,5002704,JARDIM TARUMA
2890,2178/2020 - DEPAC-DDOS,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",16/03/2020,15:30:00,MS,ITAPORÃ,5004502,PIONEIRA
2891,684/2020 - 1DP-PONTA PORÃ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",15/03/2020,09:00:00,MS,PONTA PORÃ,5006606,""
2892,1562/2020 - 1DP-CORUMBA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",15/03/2020,03:30:00,MS,CORUMBÁ,5003207,GUAICURUS
2893,1891/2020 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",14/03/2020,19:00:00,MS,CAMPO GRANDE,5002704,JARDIM SANTA EMILIA
2894,532/2020 - 1DP-AQUIDAUANA,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",14/03/2020,02:20:00,MS,AQUIDAUANA,5001102,NOVA AQUIDAUANA
2895,1749/2020 - DEPAC-CEPOL-CG,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",10/03/2020,02:45:00,MS,CAMPO GRANDE,5002704,JARDIM AERO RANCHO
2896,1451/2020 - 1DP-CORUMBA,"HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO","HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE",09/03/2020,20:40:00,MS,LADÁRIO,5005202,SANTO ANTONIO
2897,122/2020 - DP-ITAPORÃ,HOMICIDIO SIMPLES,"FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA",09/03/2020,06:20:00,MS,ITAPORÃ,5004502,CENTRO
2898,263/2020 - DP-RIO BRILHANTE,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",09/03/2020,01:00:00,MS,RIO BRILHANTE,5007208,""
