_id,Nº/ANO,FATO,FATO AGRUPADO,DATA DO FATO,HORA DO FATO,UF,MUNICÍPIO,CÓDIGO IBGE,BAIRRO,SUBTIPO_FEMINICIDIO,TENTADO,ENVOLVE_VD,DESC_MEDIDA_PROTETIVA,ANO,MES
3356,1297/2019 - 1DP-CORUMBA,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",10/03/2019,07:30:00,MS,Corumbá,5003207,VILA MAMONA,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,3
3375,284/2019 - DP-AMAMBAI,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",21/02/2019,06:00:00,MS,Amambai,5000609,ZONA RURAL,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,2
3376,148/2019 - DP-IGUATEMI,FEMINICIDIO - REVOGADO,"FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS",21/02/2019,00:00:00,MS,Iguatemi,5004304,,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,False,False,2019,2
3430,507/2019 - DEPAC-PIRATININGA-CG,"DESTRUICAO, SUBTRACAO OU OCULTACAO DE CADAVER, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FATOS TIPICOS, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",11/01/2019,18:30:00,MS,Campo Grande,5002704,PORTAL CAIOBA,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2019,1
3452,1826/2018 - DP-MUNDO NOVO,"FEMINICIDIO MAJORADO, SE PRATICADO NA PRESENÇA DE DESCENDENTE OU DE ASCENDENTE DA VITIMA - REVOGADO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA REVOGADO, DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, FEMINICIDIO, PROJETO ACOLHIDA, VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA, FATOS TIPICOS",25/12/2018,10:30:00,MS,Mundo Novo,5005681,SAO JORGE,FEMINICÍDIO TENTADO,True,True,True,2018,12
3453,15693/2018 - DEPAC-PIRATININGA-CG,"HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE, HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, HOMICIDIO QUALIFICADO PELA TRAICAO, DE EMBOSCADA, OU MEDIANTE DISSIMULACAO OU OUTRO RECURSO QUE DIFICULTE OU TORNE IMPOSSIVEL A DEFESA DO OFENDIDO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, DESCUMPRIR DECISAO JUDICIAL QUE DEFERE MEDIDAS PROTETIVAS DE URGENCIA PREVISTAS NESTA LEI","FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, PROJETO ACOLHIDA, FATOS TIPICOS, FATOS TIPICOS QUE RESULTAM EM MORTE, FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS",25/12/2018,08:10:00,MS,Campo Grande,5002704,VILA MORENINHA II,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,True,2018,12
3455,1050/2018 - DP-RIBAS RIO PARDO,"HOMICIDIO QUALIFICADO MEDIANTE PAGA OU PROMESSA DE RECOMPENSA, OU POR OUTRO MOTIVO TORPE, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA REVOGADO","FATOS TIPICOS QUE RESULTAM EM MORTE, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, HOMICIDIO DOLOSO, VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA",23/12/2018,04:30:00,MS,Ribas Do Rio Pardo,5007109,SANTOS DUMONT,FEMINICÍDIO TENTADO,True,True,False,2018,12
3459,1001/2018 - DP-RIO VERDE,"HOMICIDIO SIMPLES NA FORMA TENTADA, FEMINICIDIO MAJORADO, SE PRATICADO DURANTE A GESTAÇAO OU NOS E (TRES) MESES POSTERIORES AO PARTO - REVOGADO","HOMICIDIO DOLOSO NA FORMA TENTADA, FATOS TIPICOS, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA",22/12/2018,22:20:00,MS,Rio Verde De Mato Grosso,5007406,JARDIM DOS ESTADOS,FEMINICÍDIO TENTADO,True,False,False,2018,12
3474,1471/2018 - DP-APARECIDA,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",15/12/2018,02:00:00,MS,Aparecida Do Taboado,5001003,JARDIM SANTO ANTONIO,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2018,12
3487,215/2018 - DP-DOURADINA,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS",01/12/2018,09:00:00,MS,Douradina,5003504,,FEMINICÍDIO (LEGISLAÇÃO REVOGADA),False,True,False,2018,12
3493,6695/2018 - 1DEAM,"HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO, FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR, NA FORMA TENTADA REVOGADO","CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS QUE RESULTAM EM MORTE, HOMICIDIO DOLOSO, PROJETO ACOLHIDA, FATOS TIPICOS, VIOLENCIA DOMESTICA, FATOS TIPICOS, FEMINICIDIO NA FORMA TENTADA",27/11/2018,00:30:00,MS,Campo Grande,5002704,JARDIM AERO RANCHO,FEMINICÍDIO TENTADO,True,True,False,2018,11
3494,807/2018 - DAM-DOURADOS,"FEMINICIDIO, VIOLENCIA DOMESTICA E FAMILIAR REVOGADO, FEMINICIDIO MAJORADO, SE PRATICADO CONTRA PESSOA MAIOR DE 60 (SESSENTA) ANOS, COM DEFICIENCIA OU COM DOENÇAS DEGENERATIVAS QUE ACARRETEM CONDIÇAO LIMITANTE OU DE VULNERABILIDADE FISICA OU MENTAL - REVOGADO","FEMINICIDIO, VIOLENCIA DOMESTICA, FATOS TIPICOS, PROJETO ACOLHIDA, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FEMINICIDIO, PROJETO ACOLHIDA, FATOS TIPICOS, CRIMES VIOLENTOS LETAIS INTENCIONAIS",25/11/2018,22:30:00,MS,Dourados,5003702,JARDIM SAO PEDRO,FEMINICÍDIO MAJORADO,False,True,False,2018,11
